tweet,class
RT @julia_rodd: When kennies angry he talks like a ghetto black man and I really don't even think he notices HAHAHAHAHAHAHA I'm laughing @ &#8230;,1
"@mike_ray7 congratulations, you are officially fucking retarded.",1
"Can&#8217;t wait to humble these niggas in the playoffs again. Until then, good job hoes",1
And I'm definitely top 3 at makin beats in the city but y'all niggers love your trap beats so y'all probably won't admit that,1
talking crazy over the Internet is the same thing as doing it in person. don't try to be buddy buddy with me later on faggot fuck you.,1
RT @JEN_JEN_2014: My old man has a white galaxy phone cuz he's a fag.,1
@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot,1
@milfmob @yoPapi_chulo fight me you fucking obese niglet,1
@WyattNuckels insecure much put all you insults in one tweet. Fucking dumbass dude I'd wreck you you faggot,1
"Flaming faggots that publicly state how they want everything handed to them... Like fuck you dude, get off your bottom ass and do something",1
@dantoomey2 fuck you faggot,1
"RT @C_Phil_13: Man... I was trying to eat &#128555; ""@kylegotjokes: ""Nigga you said it was bitches out here, I showed up for nothin!"" http://t.co/u&#8230;",1
"@ProperEtacet fuck your mother, faggot",1
RT @YoShortyMa: I'll kill this bitch no hesitation http://t.co/UxePa9LVi5,1
coons,1
@Kenny__Wright @itsfrankybitch @yoPapi_chulo so if your 17 and in high school you dont have your own house you fucking faggot,1
"@leighvl Niggas probably be watching me like ""Look at this Uncle Tom ass Rasta""",1
@keltor_wade nah dude mostly just sound like a faggot,1
"&#8220;@MikeyPDaCav5: I love the song ""John Doe"" #dope&#8221; @MirandaWigley @edenbaby101 faggots",1
Holder&#8217;s Justice Department Isn&#8217;t Interested in the Facts in #Ferguson http://t.co/7vH4tyPMht These race hustling bitches are DISGRACEFUL.,1
@RunuldoRants faggot sack,1
RT @occdissent: Ann Coulter admits on FOX News that America has a negro problem. #crime #tcot #gettingreal,1
"No police department that hires gypsies, half-breeds, and nigglets should be trusted.",1
RT @Drizz_LakerKing: Horrible RT @YeIIowbang: Invader Zim was trash,1
RT @Arbogucci: Brandon Phelps a hoe ass nigga And wen I see him I'ma smack him like da lil bitch he is #300,1
"@God_loves_biebs Go pray in a church or something fag, no one cares about your religious bullshit.",1
Only Americans would hire white trash with ties to international terrorism as police officers.,1
"@mayormcginn If racial minorities weren't criminally inclined, they wouldn't have so much to worry about. Act your color, race traitor!",1
You like them bitch niggas.,1
@JaiBrooks1 not funny u faggot,1
@lucas_wright955 @MichaelGT03 faggots,1
That was my faggot rant for the night.,1
@Hovaa_ #niggerfood #niggerperson #you #are #a #nigger,1
RT @Poochda63: I go to take the trash out and a darkskin nigga stole my damn garbage,1
@PatriotsOrg Screw the ragheads.,1
"@JuanYeeze damn took this dumb spic nearly 2 days to respond, wuz really good tho beaner?",1
Delete now you bitch ass nigga RT @Quanny_Quan: If the Redskins beat us I will delete my fucking IG,1
@TheRealCVL and @CoryHolmes24 are faggots. Kbye.,1
Faggot ass bitch nigga,1
@passIt2Liv Hit a bitch it's not like you can see the bruises,1
Yo bitch on my dick she come to my crib she get passed around no love,1
"@TheRealJRSmith And its people like you that give us all a bad name, you are a disgusting piece of shit of a person a nigger is what you are",1
RT @_missvain: Lmfaooooo &gt;RT @sirTurn3r: Lmaoo Thats what u got from this? RT @waddupivy: Dougie be yamming the coon all that beat boxing &#128553;,1
"RT @Cuzimdaddy_: !!! @5feet_0inches is dis wrong??? ""@_100d: If you fuck wit a lame nigga you a lame bitch""",1
"The @GOP elite call conservatives ""our niggers"" behind closed doors. #tcot #teaparty",1
Damn hoe.. You so ugly even hello kitty said goodbye.,1
"@Fromtheshwa yes now get off twitter, you lame negros should have never learned how to use the Internet",1
Lmao let these hoes be hoes ain't no Savin nem,1
&#128514;&#128514;&#128514;RT @kwagiheath: Them 1st 48 Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down&#128293;,1
RT @MANIAC3X: @NotoriousBM95 @Woody_AFC @_WhitePonyJr_ @santi_4l @Bamoose12 start crying and stalking him faggot. I want to laff,1
"@DonnerKay @surlyrevenant An enraged 6'4"" 290 lb Mike Brown lethal weapon on legs.His hatred 4 the police &amp; whitey added fuel 2 his arsenal",1
@Pecan_B19 @ObeyMy_Realness dryer then them bad ass eyes of your fag,1
pure trash http://t.co/A2RbVEBeg1,1
Can #faggots of #HoneyBooBoo imagine this #internet world was created to trap them and feed them to #Allah like gazelles? #IT #StephenKing,1
@joeylattime @Mawson38 @ameriC00N thats just me rooting against a team I hate not banwagoning u retard u have a different favorite,1
"Jennifer Lawrence's nudes sooooo trash. Im still smashin though, no doubt",1
"@DefendWallSt Whatever! Fuck all those assholes. They're niggers, they all look alike to me.",1
@Stonisnipezz this is a joke right? You're on here like ugh I wish I was a jap and tweeting in gook and shit and jerkin to hentai.,1
@joshgnf @brana_nv @define808 @ironbjk @mrjstn oh shut up faggot get a disease overused on twitter,1
They should have never gave a cracker a transmitter!!!!!! @realdjTV will flip when he sees this. http://t.co/cYCdbhbXkQ,1
@Huntermoore happy cuz I woke up white and not a nigger!,1
@JaiBrooks1 faggot,1
@TherealGeorgeZ you are a pussy without your guns bitch as spic. Your daddy doesn't even respect the sperm he drop in your moms stank pussy,1
RT @TheAfricanSiren: Automatically suspicious of white folk who try too hard to show they like us darkies.,1
People are fucking retarded lol,1
@Zwaaad fag,1
"@kcSnowWhite7 @SamSaunders42 don't forget nappy headed, butt ugly bitch, who's married to a Muslim",1
"RT @ChingonAbe: &#8220;@staycoolwheels: @mjs79 well he is at Genos. So he is the ultimate faggot&#8221;
@elmaestro1 got to show this queer how to eat &#8230;",1
&#8220;@medaOriginBitch: That one friend who you greet with an insult.&#8221; @MorbidMermaid @EvanBecker513 niggers,1
"RT @MXLLXVV: ""@VivaLAJuicyy69: ----&gt; tragedy smh RT @MXLLXVV: Niggas don't know you but will throw dirt on your name for the pussy you h&#8230;",1
LRG ass nigguh,1
You a hoe if you crying because yo ass pregnant. It was all smiles while you was riding that dick bitch.,1
ion speak on how flaw niggas and thirsty hoes be on I.g but boyyyyyy look at here &#128586;&#128586;,1
RT @stepheeezyy: Rt *nigga *bitch *him &#8220;@187XO_: ' I will never date a female with another niggah name on her lol . Wtf .&#8221;,1
"""You ain't gunna do shit spear chucker""",1
@phishlicia I'm 5'8 fag &#128536;&#128536;,1
My eyes feel so chink eyed,1
"RT @meaghanyockey: ""@savanaharanda: Is you a girl or a guy is you my mom or is you my dad ?"" Im a butch dyke",1
"RT @TheOnlyReed: IDC what phone u got, lol silly nigger",1
@Herfarm @SteveWorks4You @TheDemocrats your low info redneck dumbasses vote for these corporate shills that idiots like you believe #dummies,1
@BloggerBoxing yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...,1
"It was nice of you to unfollow me, fag",1
@DjChubbESwagg this like a retarded wu-tang clan,1
@kieffer_jason lmao why ur dad raised u to be a bitch made nigga,1
@AlfieHeydrich but I live in the South. Lot more here. My pop lives in Rhode Island. Hardly no niggers there.,1
&#8220;@kitty_hello14: @Im_Yung_Jay &#127850;&#127850;&#127850;&#127850;&#127850; bitch ass nigga fuck you ! &#128079;&#128079;&#128079;&#128079;&#128079;&#128077;&#128077;&#128077;&#128077;&#128077;&#8221; &lt;= these hoes ain't got no manners #RealTalk,1
@real5Hfacts stfu u ugly dyke,1
&#8220;@MILF_chronicles: Dudes shaving without it being for an athletic purpose is gay af&#8221; you're retarded.,1
@Sammytbh whats your youtube channel then faggot,1
"@karmendanielle_ u gotta slow down these coon hrs all they know is love n hip hop, lebron, &amp; fake love quotes",1
@sophhh_marie ugly emo trash go cut,1
This kid looks like a retard when he tries hiding his phone... so obvious,1
@Oskzilla fuck you niggah you gay. Lol,1
@SydneeSmalling fuck Miley tranny looking now damn ass nigga,1
@MarianCristinax you a fag b,1
@sizzurp__ @bootyacid @ILIKECATS74 @yoPapi_chulo yeah ok nigger.,1
@JungleFeverFren fuck u nigger,1
@Buckm00se @letsargueboxing sand nigger ran over some Kidd,1
@saucygyro that was back when nigger music was decent,1
#California is full of white trash who moved from #Oklahoma,1
@ViewFromBoxSeat She's a cunt,1
"It's time to mock ""Halftime in America."" How 'bout ""Wake up America,"" we have radical leftists running the country. http://t.co/9Eyi0K8w",1
RT @Tae_Rhodes: &#8220;@kim92493: &#8220;@Tae_Rhodes: @kim92493 @patpatbush uhhh you've been judged&#8221; it happens. #whitepower...I'll hang you nigger&#8221; wo&#8230;,1
@who__CHRISJONES @WhyYouSoShort who is dis crack ass cracker,1
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",1
I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,1
"RT @Theprinceofnj: &#8220;@SMCo71: "" if you aint bout that Murder Game pussy nigga shut up ""&#8221;252 GANG &#128514;&#128514;&#128514;&#128514;&#128514;",1
Fuck boi fag,1
Ebola sounds like a hood hoe,1
Fuck a lame nigga than you a lame bitch,1
&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A,1
RT @FemsHaveBallz: You can no longer run a business n America unless it's deemed acceptable by 1 political group of retards known as democr&#8230;,1
@JoeDouglas1 I guess blaspheme to your Allah is ok if your pos muzzie huh? @JewJitsuGrl @efilnikcufecin7 @Darknight420,1
RT @harmon_lauren: Jenna's a faggot,1
@DolanGang you wouldn't know fag,1
@holyh00ker he looks like a pretty dyke&#128129;&#10024;,1
https://t.co/jtLZErgxI0 Leo get the fuck off of vine you fag,1
RT @DRNRDX: @BrandonFxrd you're not safe pussy boy looooool http://t.co/TocJ1WxRYK,1
Apaches' 30 MM rounds turn Jihadis into tomato soup @MarkRothschild1 @Rockprincess818 @NoFear3136 @Lanna70115,1
It's levels to my bitch you can't fuck her nigga cause she like red bottom you can't afford her nigga she got Benz you riding honda accord,1
Liberty and justice for all RT @ThatAngryNigga Go get me a sandwich nigger or I'll kill you,1
Sick of your coon antics RT @POONsoaker: Accuracy RT @Thotcho: &#8220;Henny &gt; water&#8221; &#128128;&#128128;&#128128;,1
@LexVan13 go back to nigeria faggot,1
@TweetfrmtheSole it&#8217;s the entire pats bandwagon. They&#8217;re faggots,1
@Taylor_1017 faggot,1
"S/O to my favorite nigger to work on the plantation @Pretty_WarZone just remember next time, ask for the watermelon. Dont steal it.",1
"Fucking faggots @DMVFollowers aren't from or live in DC, Maryland or VA",1
"No these are only whites pies.
Well do you have any negro pies?",1
@mimiswagnotes You are an ignorant cunt.,1
Your pathetic plan failed. Enjoy my phone you fucking monkey. Let me see your ass at Benton park. You wanna talk shit I'll carve your face.,1
"""poor whitey"" http://t.co/3UkKeyznz8",1
@OVOtilUOverDose @flossinlawson11 niggers*,1
@onIinebaby I knew you were a faggot though,1
"RT @IAmNiaRich: Nigga screamed like a Lil bitch lol 

https://t.co/b1qBnDPxdv",1
Fucking gook,1
It's this dyke chick cut hair in the barbershop look just like Future,1
RT @JHarmelink182: The fox says you're a cunt.,1
Ugly fucking nigger baby. Thought it was a gorilla at first.14/88 http://t.co/Bq3G01rxKN,1
It's so shady when you bitches talk to guys w/ girlfriends that's so disrespectful to do to another girl,1
"@_westwest_yall @phampel WooHoo! New Black ""Kill Cracker babies"" Panthers to the rescue! #racist #trash #thugs #Ferguson #fergusonriot",1
"Subtweet me one more time, you dirty chink whore",1
"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger",1
"Well gahdamn. RT @HuhWhatsACondom: Wooooow &#8220;@moesdeph: ""Good job mommy"" cutest thing blue ivy ever done she still an ugly nigger baby&#8221;",1
@JimBoberson happy birthday faggot,1
I ain't been to the fair since I was like 8 and I haven't wanted to go since then either for some reason. Too many niggers for me,1
RT @rachael_goss: Who wants to chill on campus w me &amp; throw bibles at bitches taking the walk of shame&#10067;&#10068;,1
@urbasicyabish @Mikeaveli fucking faggot,1
@DevilFzyq @DevilElyie @TehDevilClan shut up fag,1
@lnsightful @zT_Supreme @uncr4fted @yoPapi_chulo omg no plz stop calling me an idiot... are we in kindergarden you fucking faggot,1
&#8220;@ttevy_8: i want affection 24/7 but i also want to be left alone 24/7... do you see the issue here?&#8221;fag,1
@OfficialSkai dont tell me what to do. fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot.,1
"@badshah200 Ur pal @STLAbuBadu threat2 ""apostate kufar""&gt;""I cld cut ur neck w/sword of islam &amp;watch u squeal like a bitch like Daniel Pearl""",1
"I wish faggots like @tyga would stop making music, rack city was fucking awful. Get the fuck outta michigan.",1
"&#8220;@DickFurari: HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS. http://t.co/H0JGORtnF8&#8221;

- Dis be heaven fo a colored man",1
Kanye west is a faggot,1
"Funniest yt comment I ever received was ""Niggers gonna nig *shrugs*"" .. lmao racist muthafucka caught me off guard",1
"RT @iowahawkblog: ""I love cripples! Look at all these fucking cripples! Goddamit I'm a people person!"" https://t.co/XCLA5xPmLX",1
You have my word we will RT @JRwrz: @Thotcho beat those fucking faggots pls,1
Your acting like a spoiled little faggot have fun,1
@samzbikowski some negro amigo pulled a gun on Nate and I a few weeks ago. I was STOKED!&#128299;&#128299;&#128299;,1
@Lovelesslovely @Kwitchabichen25 hey aklve! Im taking out the black ghetto trash. Youre blocked nigger,1
@JRise88 @G_Anderson4 what do you want fag,1
Must have been a light skin hoe &#8220;@CampaignMindy: Lmfao wtf she mean af &#128557;&#128557;&#8220;@TrickingGawd: HE WASNT READY BRUH RIP!! http://t.co/lJRqrdBMfi&#8221;&#8221;,1
Is there a full moon out? #CrazyAssholes out in full force and I'm not talking about muzzies or liberals&#8252;&#65039; And I'm in the mood to oblige.,1
RT @kevnasto: I would rather fuck a fat chick than allow a nigger into my house.,1
@patrickstpierre You're a fucking faggot.,1
#WestVirginia is full of white trash.,1
@atspace your 2. And 3. Nigga them hoes suck wayans brothers are not funny at all Jamie foxx should be number 2,1
@georgiathenewsa you look like a welfare bitch compared to Latinas I date and fuck. You need fashion and makeup tips tbh,1
"Not All Straight Men - I am frustrated. Unlike on OKCupid, queer folks don&#8217;t have the ability to block... http://t.co/hBF2xZa0ke",1
"@StarkFreeOrDie ...I fuckin' want OUT&gt; I'm tired of this bullshit faggot ass, closet racist, wannabe-commune-without-railroad state&gt; #Cali",1
RT @ClassicBray: Lmaoo RT @PacDaGoat: That's a legal tackle faggot RT @PP_Rich_Hill: Seriously? http://t.co/guMZewrpy3,1
@Shvkxir @RickiRoma @BaeSongz @JayZOverrated Ahmed and retard mikey for special Olympic boxing,1
As soon as we left Iraq all these towel heads think they can fucking barge in and take over what we worked so hard to set up. Pisses me off.,1
@MakeAnothaHov T.o. was a faggot crybaby,1
No one goes into psychiatry to help people. Those people are all immoral. Everyone who works in that field is pure trash.,1
@DarienDaywalt bitch shut the fuck up goddam your a slut bitch whore nigga,1
"@Chris_Anzueto @Josh_Mackey15 you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace.",1
"What ppl expect, august aslina is a nig from New Orleans",1
"@feverspell @NYRKelsMads I'll do it! @1dgroupiegossip In the UK, ""Fag"" means cigarette and a ""faggot"" is a bundle of sticks, you homo.",1
"RT @milesfan79: realest tweet i seen today RT @SoopSoo: &#8230;. Dyke bitches are rehab for hoes.And once im healed,back to the dick I go",1
"Obama&#8217;s faves: Muslims, black ghetto trash http://t.co/qTfjRAijwn via @worldnetdaily",1
@ktpowers98 @WendyDavisTexas Ha Ha Ha no good fat dyke,1
@RylannWilliams whooooo? Chelsey? Fuck her lol. She juss a bitch,1
I knows y'all white folk only be playin wit me. I colored and I knows my place,1
"""You ol trout mouth ass bitch"" 
DEEEEAAAADD",1
RT @TrueNovacane: Only pussy niggas wouldn't fuck with a chick if she has stretch marks..,1
@kitlange stop oppressing me! Have you heard of free speech? Stop shoving your lifestyle down my throat! 1st AMENDMENT! #tcot #teabaggers,1
"8/16/14 MO @GovJayNixon let &#8220;kill some crackers, kill their babies"" New Black Panthers hijack his #Ferguson presser http://t.co/z2Wko9Ripz",1
@SteveStockmanTX hes just a friggin idiot that can say anything and his redneck teabagger constituants buy it. They love stupid people,1
"RT @kwagiheath: It's ""Comfortable"" but niccas like me say ""Com-tha-ble""...smh",1
Mayweather is a pussy hes only winning cus he picks his fight and he picks the nobody fighters . #fightPacquiao @FloydMayweather,1
RT @sheemteam97: Fuck the Islamic State!! We will kill those cunts&#127468;&#127463;,1
RT @ToyaMiani: The reason you called Jesus a monkey is because you knew he was not your color #Farrakhan#TheTime,1
You some type of special faggot if you bring chocolate Swishers to a smoke session.,1
@Newser big fucking deal...cry baby niggers,1
"Dad just yelled out ""in bout to fry some chicken like a nigger""",1
RT @GottaLuvLexci_: &#128557;&#128557;&#128557;&#128557;&#128557; RT @MyHips_DntLie: Tight pants and loud colors!!! You look like a fag! &#128557;,1
@jumpmastere8 @dmcgowen1776 @visitorvisiting its retarded,1
@whiteangelss84 y dont u end us monkeys then? U hate us because were better than crackers &amp; I love it. Deep down u know weve done nothin 2 u,1
@FrankieJGrande fugly queer white trash,1
#milesthompson #goauche #wetback #ca http://t.co/g3Ze8bqLPG,1
@SAMMI_boyden bruh we can finally roll like rednecks (': ((drug dealers)),1
RT @__J_R: Smh nigga is mildly retarded RT @Thotcho: LMFAO RT @JustDoJ: If Griff wasn&#8217;t injuries we&#8217;d legit be 6-1,1
@SMASEY you're such a faggot,1
"Look at this little faggot.
""@Kellz622: Tell her she's beautiful as much as you can. It'll make her smile""",1
"Just watched the scene in zero dark thirty where they pop Osama's bitch ass 
#U #S #A",1
@white_thunduh my bitch dont want your ugly ass gtfo ol peyton manning lookin ass,1
' Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;,1
RT @MichaelGT03: Happy birthday freshman faggots @cooopster98 @Chase123456718,1
RT @ErikCochrane: @tonydecola &#128514;&#128514; my nig,1
Fuk wit a real nicca,1
Anyone who came to the US as an indentured servant is white trash.,1
@garrett_winker wow u hoe is the term for women,1
RT @lmfaohilarious: Never go full retard http://t.co/LMk3TX5ViC,1
@JadeGreenleaf fag,1
"I hate that my mom says she trying to move out here... Like bitch the only reason your ""trying"" is because you don't have a place to live..",1
@UberFacts studies show that you're a faggot,1
RT @SalamanCode: Proof that thots are retarded. http://t.co/rHJSlL9i9f,1
This rain got yall women talking out your ass.. A nigga should spend 80% of his income on a bitch &#128514;&#128514; bruh get these hoes the fuck outta here,1
"@Ken_GTH nahh , whatever you are spook or spic, I still don't like you . Good day",1
they shot another monkey lmaooooooooooo,1
@sassyharryballs ugly white bitch,1
"Bill Smith DDS MTV ODB LGBTQ MMA NFL AFLCIO 

bitch pick one.

Fucking hate you.

I know you proud but shit.",1
"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""",1
"Brady heard yall say he was washed, now he washing the league on you hoe ass niggas.",1
I'm just upset they got faggots on this show,1
@Ole_Boy @m10eezy yes I'm white washed because I don't go around repping my hood and saying a bunch of ignorant nig terms.,1
@Garner_412 heyyyyyyyyyyy fag boy am I gonna watch you play?,1
"@Misplaced_Momma 
Y&#8217;all whitey gots to PAY fo da preparations",1
"RT @obeyyreggie: stfu hoe RT &#8220;@tedddydgaf: ""I'm proud to be African American"" 
- Proud African American

""I'm proud to be white"" 
- Racist
&#8230;",1
@asshole_king pats owner is a kike.,1
White trash have taken over every charity organization in the US.,1
Spics are half breed trash. No filthy native should be allowed to speak to any European.,1
@djfeds suck my dick tacos el negro better,1
faggot http://t.co/tkPokv3ncd,1
Stu a rape faced faggot man I'm sick of this nigga,1
RT @TheChrisCates: Look at this faggot http://t.co/db7SIri8qg,1
Fuck her pussy fuck her mouth fuck her ass cause she nasty,1
RT @RIPvuhsace: I hate taking a shit at public places bc i feel like a faggot when im placing the toilet paper on the toilet seat,1
Lmaooo RT @Handsomeesco_55 She a tranny if she can open a jar of pickles by herself,1
@phreshagu_25 yeah you right and you know them Mexicans bringing all they family that hoe finna be packed,1
RT @imDOPE_GetHigh: @Whackko man some lame niggah when I find him I'm unfollowing TF out his ass!,1
@McwilliamsBrett shut your legs hoe,1
"If a spic ever talks to a white person and the white person kills them, it's self defense.",1
ah nigga dat cares about opinions and get involve in hoe shit either Gay broke or ain't getting enough pussy!!,1
@kingxxlopez Roberts is a fuckin fag&#128514; smack the shit outta him,1
"@Brice2254 Fuck you, faggot.",1
RT @_2kkz: This faggit bitch tried to say she hoe'd for hd bearfaced bitch yusa fag,1
"RT @ThatBajanKidd: #NeverAskABlackPerson if her hair is hers . she will hit you with a ""bitch i bought it , so it's mine"" .",1
@kieffer_jason bitch was i talking to u stfu and get off my page oh bitch nigga u bout that life,1
@CheCha__ be gone my nigguh,1
Fat fucking funky nasty ass hoes,1
"I hate when people tell me I have to many tattoos, and they make me look ugly. Like bitch fuck you",1
@kieffer_jason oh but I am and my grades say other wise so u can stfu and get off my Twitter or u can box simple ass that pussy boy,1
Man I swear today's like nation hit tony while he's driving day.... This chink almost smashed into me...,1
We hate you too lil nicca! Lol RT @redfernave: I Hate The Steelers Dawg,1
"@PatDollard Fuckin muzzie cunts, should all be deported, savages",1
"No. Its wrong to try to change #faggots&gt; There is no ""therapy"" so #tcot should understand and sympathize like they are #retards&gt;",1
@Buckm00se true sand niggers &amp; bum Brits claim he's a ATG hall of fame legend smh,1
@krispy717 @grizzboadams fucking gay faggot look at that gay ass pink shirt haha,1
@MattHomeTeam - you know what you did you faggot. There are literally thousands of people that have you on their radar homo,1
RT @nick_pertile: Oh my goodness do I hate Chinese people. Fucking zipperheads,1
@skrabah Don't my nigga me honkie,1
@ImToBlame you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,1
